,time,open,high,low,close,volume
0,1694390400000,25827.13,25889.64,24915.0,25161.59,432.99059318
1,1694304000000,25898.47,26017.17,25570.0,25827.13,174.04496523
2,1694217600000,25908.81,25931.82,25799.9,25898.47,107.90468142
3,1694131200000,26248.67,26429.88,25647.26,25908.81,320.17692731
4,1694044800000,25752.41,26426.3,25615.96,26248.67,305.33607253
5,1693958400000,25782.7,26039.05,25373.57,25752.41,384.72137304
6,1693872000000,25813.54,25871.62,25563.71,25782.7,249.9558385
7,1693785600000,25965.54,26080.96,25627.48,25813.54,143.20972144
8,1693699200000,25864.1,26117.8,25804.27,25965.54,86.09067915
9,1693612800000,25798.11,25964.88,25750.01,25864.1,82.32245335
10,1693526400000,25931.59,26130.65,25325.0,25798.11,601.16611659
11,1693440000000,27292.39,27549.29,25680.53,25931.59,500.19993676
12,1693353600000,27718.13,27762.81,27008.0,27292.39,448.31659967
13,1693267200000,26111.79,28127.34,25911.08,27718.13,1201.75940432
14,1693180800000,26094.1,26233.3,25865.23,26111.79,242.84545729
15,1693094400000,26006.3,26171.03,25958.18,26094.1,98.51993756
16,1693008000000,26054.63,26100.0,25986.62,26006.3,56.96846557
17,1692921600000,26180.07,26277.42,25768.29,26054.63,281.27642951
18,1692835200000,26428.87,26568.83,25869.0,26180.07,300.55995501
19,1692748800000,26043.37,26800.0,25803.52,26428.87,714.91762547
20,1692662400000,26120.3,26140.65,25368.23,26043.37,303.61541069
21,1692576000000,26187.84,26237.78,25826.7,26120.3,348.49171438
22,1692489600000,26101.01,26288.0,25990.0,26187.84,70.48065802
23,1692403200000,26052.31,26264.13,25811.4,26101.01,121.76495704
24,1692316800000,26638.33,26829.47,25647.26,26052.31,672.54361144
25,1692230400000,28700.99,28751.52,25150.0,26638.33,956.332847
26,1692144000000,29176.91,29226.31,28700.0,28700.99,327.42069873
27,1692057600000,29409.95,29457.9,29059.0,29176.91,238.12750102
28,1691971200000,29277.61,29650.0,29081.01,29409.95,334.12702807
29,1691884800000,29417.82,29442.95,29258.24,29277.61,51.3857578
30,1691798400000,29405.78,29470.26,29367.51,29417.82,62.61392777
31,1691712000000,29429.13,29537.36,29208.7,29405.78,290.02579819
32,1691625600000,29565.98,29707.84,29325.0,29429.13,268.89164003
33,1691539200000,29770.14,30117.08,29361.31,29565.98,285.63782355
34,1691452800000,29177.31,30187.0,29107.63,29770.14,585.94511837
35,1691366400000,29040.8,29245.24,28672.2,29177.31,370.03537344
